trial,chunk_steps,predicted_chunk_fk_eef_z_start,predicted_chunk_fk_eef_z_end,predicted_chunk_fk_eef_z_max,predicted_chunk_fk_eef_z_min,predicted_chunk_fk_eef_z_range,predicted_chunk_fk_eef_z_argmax_step,action_values.0_chunk_start,action_values.0_chunk_end,action_values.0_chunk_min,action_values.0_chunk_max,action_values.0_chunk_range,action_values.1_chunk_start,action_values.1_chunk_end,action_values.1_chunk_min,action_values.1_chunk_max,action_values.1_chunk_range,action_values.2_chunk_start,action_values.2_chunk_end,action_values.2_chunk_min,action_values.2_chunk_max,action_values.2_chunk_range,action_values.3_chunk_start,action_values.3_chunk_end,action_values.3_chunk_min,action_values.3_chunk_max,action_values.3_chunk_range,action_values.4_chunk_start,action_values.4_chunk_end,action_values.4_chunk_min,action_values.4_chunk_max,action_values.4_chunk_range,action_values.5_chunk_start,action_values.5_chunk_end,action_values.5_chunk_min,action_values.5_chunk_max,action_values.5_chunk_range
0,50,0.2544746621018957,0.23727611060910087,0.2767560400163677,0.23727611060910087,0.039479929407266856,11,-14.961318969726562,-9.346104621887207,-19.89207649230957,-9.346104621887207,10.545971870422363,84.86685180664062,32.5570182800293,32.5570182800293,84.86685180664062,52.30983352661133,0.1274242401123047,-21.947072982788086,-29.15720558166504,1.8133296966552734,30.970535278320312,-89.88246154785156,-86.63211822509766,-110.18748474121094,-86.63211822509766,23.55536651611328,-6.718087196350098,-5.991058349609375,-7.320948600769043,-4.372509002685547,2.948439598083496,64.731201171875,48.87934112548828,48.87934112548828,87.72296905517578,38.8436279296875
1,50,0.2544746621018957,0.23727611060910087,0.2767560400163677,0.23727611060910087,0.039479929407266856,11,-14.961318969726562,-9.346104621887207,-19.89207649230957,-9.346104621887207,10.545971870422363,84.86685180664062,32.5570182800293,32.5570182800293,84.86685180664062,52.30983352661133,0.1274242401123047,-21.947072982788086,-29.15720558166504,1.8133296966552734,30.970535278320312,-89.88246154785156,-86.63211822509766,-110.18748474121094,-86.63211822509766,23.55536651611328,-6.718087196350098,-5.991058349609375,-7.320948600769043,-4.372509002685547,2.948439598083496,64.731201171875,48.87934112548828,48.87934112548828,87.72296905517578,38.8436279296875
2,50,0.2544746621018957,0.23727611060910087,0.2767560400163677,0.23727611060910087,0.039479929407266856,11,-14.961318969726562,-9.346104621887207,-19.89207649230957,-9.346104621887207,10.545971870422363,84.86685180664062,32.5570182800293,32.5570182800293,84.86685180664062,52.30983352661133,0.1274242401123047,-21.947072982788086,-29.15720558166504,1.8133296966552734,30.970535278320312,-89.88246154785156,-86.63211822509766,-110.18748474121094,-86.63211822509766,23.55536651611328,-6.718087196350098,-5.991058349609375,-7.320948600769043,-4.372509002685547,2.948439598083496,64.731201171875,48.87934112548828,48.87934112548828,87.72296905517578,38.8436279296875
3,50,0.2544746621018957,0.23727611060910087,0.2767560400163677,0.23727611060910087,0.039479929407266856,11,-14.961318969726562,-9.346104621887207,-19.89207649230957,-9.346104621887207,10.545971870422363,84.86685180664062,32.5570182800293,32.5570182800293,84.86685180664062,52.30983352661133,0.1274242401123047,-21.947072982788086,-29.15720558166504,1.8133296966552734,30.970535278320312,-89.88246154785156,-86.63211822509766,-110.18748474121094,-86.63211822509766,23.55536651611328,-6.718087196350098,-5.991058349609375,-7.320948600769043,-4.372509002685547,2.948439598083496,64.731201171875,48.87934112548828,48.87934112548828,87.72296905517578,38.8436279296875
4,50,0.2544746621018957,0.23727611060910087,0.2767560400163677,0.23727611060910087,0.039479929407266856,11,-14.961318969726562,-9.346104621887207,-19.89207649230957,-9.346104621887207,10.545971870422363,84.86685180664062,32.5570182800293,32.5570182800293,84.86685180664062,52.30983352661133,0.1274242401123047,-21.947072982788086,-29.15720558166504,1.8133296966552734,30.970535278320312,-89.88246154785156,-86.63211822509766,-110.18748474121094,-86.63211822509766,23.55536651611328,-6.718087196350098,-5.991058349609375,-7.320948600769043,-4.372509002685547,2.948439598083496,64.731201171875,48.87934112548828,48.87934112548828,87.72296905517578,38.8436279296875
5,50,0.2544746621018957,0.23727611060910087,0.2767560400163677,0.23727611060910087,0.039479929407266856,11,-14.961318969726562,-9.346104621887207,-19.89207649230957,-9.346104621887207,10.545971870422363,84.86685180664062,32.5570182800293,32.5570182800293,84.86685180664062,52.30983352661133,0.1274242401123047,-21.947072982788086,-29.15720558166504,1.8133296966552734,30.970535278320312,-89.88246154785156,-86.63211822509766,-110.18748474121094,-86.63211822509766,23.55536651611328,-6.718087196350098,-5.991058349609375,-7.320948600769043,-4.372509002685547,2.948439598083496,64.731201171875,48.87934112548828,48.87934112548828,87.72296905517578,38.8436279296875
6,50,0.2544746621018957,0.23727611060910087,0.2767560400163677,0.23727611060910087,0.039479929407266856,11,-14.961318969726562,-9.346104621887207,-19.89207649230957,-9.346104621887207,10.545971870422363,84.86685180664062,32.5570182800293,32.5570182800293,84.86685180664062,52.30983352661133,0.1274242401123047,-21.947072982788086,-29.15720558166504,1.8133296966552734,30.970535278320312,-89.88246154785156,-86.63211822509766,-110.18748474121094,-86.63211822509766,23.55536651611328,-6.718087196350098,-5.991058349609375,-7.320948600769043,-4.372509002685547,2.948439598083496,64.731201171875,48.87934112548828,48.87934112548828,87.72296905517578,38.8436279296875
7,50,0.2544746621018957,0.23727611060910087,0.2767560400163677,0.23727611060910087,0.039479929407266856,11,-14.961318969726562,-9.346104621887207,-19.89207649230957,-9.346104621887207,10.545971870422363,84.86685180664062,32.5570182800293,32.5570182800293,84.86685180664062,52.30983352661133,0.1274242401123047,-21.947072982788086,-29.15720558166504,1.8133296966552734,30.970535278320312,-89.88246154785156,-86.63211822509766,-110.18748474121094,-86.63211822509766,23.55536651611328,-6.718087196350098,-5.991058349609375,-7.320948600769043,-4.372509002685547,2.948439598083496,64.731201171875,48.87934112548828,48.87934112548828,87.72296905517578,38.8436279296875
8,50,0.2544746621018957,0.23727611060910087,0.2767560400163677,0.23727611060910087,0.039479929407266856,11,-14.961318969726562,-9.346104621887207,-19.89207649230957,-9.346104621887207,10.545971870422363,84.86685180664062,32.5570182800293,32.5570182800293,84.86685180664062,52.30983352661133,0.1274242401123047,-21.947072982788086,-29.15720558166504,1.8133296966552734,30.970535278320312,-89.88246154785156,-86.63211822509766,-110.18748474121094,-86.63211822509766,23.55536651611328,-6.718087196350098,-5.991058349609375,-7.320948600769043,-4.372509002685547,2.948439598083496,64.731201171875,48.87934112548828,48.87934112548828,87.72296905517578,38.8436279296875
9,50,0.2544746621018957,0.23727611060910087,0.2767560400163677,0.23727611060910087,0.039479929407266856,11,-14.961318969726562,-9.346104621887207,-19.89207649230957,-9.346104621887207,10.545971870422363,84.86685180664062,32.5570182800293,32.5570182800293,84.86685180664062,52.30983352661133,0.1274242401123047,-21.947072982788086,-29.15720558166504,1.8133296966552734,30.970535278320312,-89.88246154785156,-86.63211822509766,-110.18748474121094,-86.63211822509766,23.55536651611328,-6.718087196350098,-5.991058349609375,-7.320948600769043,-4.372509002685547,2.948439598083496,64.731201171875,48.87934112548828,48.87934112548828,87.72296905517578,38.8436279296875
