trial,seq_pos,is_decision_step,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,predicted_action_eef_z
0,0,False,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
0,1,True,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
1,0,False,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
1,1,True,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
2,0,False,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
2,1,True,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
3,0,False,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
3,1,True,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
4,0,False,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
4,1,True,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
5,0,False,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
5,1,True,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
6,0,False,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
6,1,True,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
7,0,False,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
7,1,True,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
8,0,False,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
8,1,True,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
9,0,False,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
9,1,True,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
10,0,False,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
10,1,True,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
11,0,False,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
11,1,True,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
12,0,False,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
12,1,True,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
13,0,False,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
13,1,True,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
14,0,False,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
14,1,True,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
15,0,False,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
15,1,True,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
16,0,False,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
16,1,True,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
17,0,False,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
17,1,True,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
18,0,False,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
18,1,True,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
19,0,False,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
19,1,True,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
20,0,False,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
20,1,True,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
21,0,False,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
21,1,True,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
22,0,False,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
22,1,True,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
23,0,False,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
23,1,True,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
24,0,False,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
24,1,True,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
25,0,False,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
25,1,True,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
26,0,False,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
